# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
ce shi le mei 	测试了没	c=1 d=0.000198445 t=14785
ce shi lei 	测试类	c=3 d=8.76279e-06 t=14785
ce yi xia ba 	测一下吧	c=1 d=0.000205513 t=14785
ceng 	层	c=1 d=5.0933e-05 t=14785
ceng ci 	层次	c=1 d=1.85092e-08 t=14785
ceng ji 	层级	c=2 d=1.17974e-20 t=14785
ceng mian 	层面	c=0 d=0.1 t=10080
cha 	差	c=1 d=4.27779e-11 t=14785
cha 	插	c=0 d=2.57632e-17 t=14785
cha 	查	c=4 d=3.82145e-06 t=14785
cha bu 	差不	c=0 d=1.88471e-16 t=14785
cha bu dao 	查不到	c=1 d=3.8594e-06 t=14785
cha bu duo 	差不多	c=8 d=2.34165e-06 t=14785
cha bu liao 	差不了	c=1 d=1.89416e-15 t=14785
cha bu shang hua 	插不上话	c=1 d=2.58923e-16 t=14785
cha dao 	查到	c=1 d=0.000534061 t=14785
cha dao le 	查到了	c=1 d=0.000510561 t=14785
cha de 	查的	c=3 d=2.85319e-11 t=14785
cha jian 	插件	c=20 d=0.251812 t=14785
cha ju 	差距	c=2 d=0.000286767 t=14785
cha kan 	查看	c=22 d=0.0422796 t=14785
cha ru 	插入	c=1 d=1 t=11228
cha xun 	查询	c=9 d=0.857746 t=14785
cha xun wang 	查询网	c=1 d=4.22717e-18 t=14785
cha yi cha 	查一查	c=1 d=3.02385e-18 t=14785
cha yi xia 	查一下	c=0 d=3.09671e-05 t=14785
cha zhao 	查找	c=3 d=1.87932e-10 t=14785
chai 	拆	c=0 d=0.198511 t=14783
chai zhuang 	拆装	c=1 d=9.19138e-09 t=14785
chan 	产	c=1 d=0.0395575 t=14785
chan dao 	禅道	c=4 d=0.000372334 t=14785
chan pin 	产品	c=2 d=0.000352786 t=14785
chan quan 	产权	c=1 d=1.7928e-15 t=14785
chan sheng 	产生	c=3 d=2.18456 t=13002
chang 	厂	c=1 d=1 t=11629
chang 	长	c=4 d=1.06256e-08 t=14785
chang dian 	长点	c=1 d=3.58919e-05 t=14785
chang du 	长度	c=1 d=1 t=10512
chang fa 	长发	c=1 d=7.12983e-21 t=14785
chang jian 	常见	c=5 d=1.23274e-06 t=14785
chang jian da pei 	常见搭配	c=1 d=1 t=12524
chang jian pai xu 	常见排序	c=1 d=1.35778e-10 t=14785
chang jin hu 	长津湖	c=1 d=1 t=14278
chang jing 	场景	c=3 d=1.98527 t=12360
chang liang 	常量	c=2 d=8.78557e-07 t=14785
chang liang chi 	常量池	c=4 d=2.92902 t=10244
chang liang chi zhong 	常量池中	c=1 d=1 t=10158
chang shi 	尝试	c=1 d=1.44125e-06 t=14785
chang shi jian 	长时间	c=1 d=1.00889 t=14702
chang wei yan 	肠胃炎	c=1 d=2.65984e-09 t=14785
chang yong 	常用	c=5 d=1.08704 t=14785
chang yong lei 	常用类	c=1 d=1.92678e-10 t=14785
chang yong zi 	常用字	c=1 d=1 t=10310
chao 	超	c=1 d=4.81074e-10 t=14785
chao chu 	超出	c=2 d=0.00571306 t=14785
chao da 	超大	c=1 d=1.13431e-12 t=14785
chao guo 	超过	c=3 d=1.80314e-17 t=14785
chao ji 	超级	c=1 d=2.13384e-05 t=14785
chao ren 	超人	c=1 d=1 t=14785
chao shi 	超市	c=2 d=0.00679611 t=14785
chao shi 	超时	c=1 d=1 t=13749
che 	车	c=10 d=6.94482e-05 t=14785
che dao 	车道	c=2 d=1.97531 t=11624
che di 	彻底	c=3 d=5.08549e-16 t=14785
che fei 	车费	c=0 d=7.08582e-08 t=14785
che hai zai 	车还在	c=1 d=1.9371e-14 t=14785
che le 	车了	c=0 d=0.1 t=13775
che liang 	车辆	c=2 d=2.0922e-13 t=14785
che peng 	车棚	c=1 d=1.42003e-08 t=14785
che wei 	车位	c=3 d=1.4854e-08 t=14785
che xiao 	撤销	c=2 d=1.69768 t=11414
che xing 	车型	c=1 d=1.28866e-13 t=14785
che yi 	车衣	c=1 d=9.00938e-09 t=14785
che zi 	车子	c=1 d=1.47492e-13 t=14785
chen 	陈	c=1 d=0.494109 t=14785
chen lie 	陈列	c=1 d=0.010889 t=14785
cheng 	城	c=1 d=1.66325e-15 t=14785
cheng 	成	c=2 d=0.035341 t=14785
cheng du 	程度	c=2 d=0.00394621 t=14785
cheng gong 	成功	c=7 d=0.315508 t=14785
cheng gong le 	成功了	c=4 d=3.75227e-08 t=14785
cheng gong le ma 	成功了吗	c=1 d=1.06531e-09 t=14785
cheng ji 	成绩	c=0 d=0.1 t=11308
cheng ji jiao zhun 	成绩校准	c=1 d=1 t=11309
cheng ke 	乘客	c=1 d=6.64781e-21 t=14785
cheng li 	成立	c=1 d=4.39893e-16 t=14785
cheng shi 	城市	c=3 d=0.0104099 t=14785
cheng xu 	程序	c=3 d=0.0244308 t=14785
cheng xu mei you zhi xing 	程序没有执行	c=1 d=1 t=14341
cheng xu yuan 	程序员	c=2 d=0.965605 t=14785
cheng zhang 	成长	c=11 d=0.000327915 t=14785
cheng zhang mu biao 	成长目标	c=3 d=1.45253e-06 t=14785
cheng zhang ren wu 	成长任务	c=1 d=4.72608e-07 t=14785
cheng zi 	橙子	c=1 d=1 t=14413
chi 	吃	c=4 d=0.00842374 t=14785
chi 	池	c=3 d=1.61896 t=14347
chi ba 	吃吧	c=1 d=1 t=14374
chi dian 	吃点	c=0 d=8.78843e-12 t=14785
chi dian ban lan gen 	吃点板蓝根	c=1 d=8.83248e-11 t=14785
chi dun 	迟钝	c=1 d=1 t=10401
chi duo le 	吃多了	c=1 d=1 t=10631
chi fan 	吃饭	c=7 d=0.0985112 t=14785
chi fan le 	吃饭了	c=2 d=0.120633 t=14785
chi ge 	吃个	c=1 d=9.42727e-13 t=14785
chi le 	吃了	c=2 d=2.78125e-09 t=14785
chi zhong 	池中	c=0 d=0.1 t=10157
chong 	冲	c=0 d=0.1 t=14779
chong fu 	重复	c=1 d=0.00319048 t=14785
chong lai 	重来	c=1 d=9.23431e-05 t=14785
chong ming ming 	重命名	c=1 d=1 t=12220
chong pai 	冲排	c=1 d=1 t=14133
chong qi 	重启	c=6 d=3.46146e-10 t=14785
chong qi le 	重启了	c=1 d=4.41872e-10 t=14785
chong ru 	重入	c=1 d=0.000447164 t=14785
chong tu 	冲突	c=2 d=0.000420107 t=14785
chong tu de 	冲突的	c=1 d=1 t=11500
chong xie 	重写	c=6 d=1.42063e-10 t=14785
chong xie le 	重写了	c=1 d=8.48904e-15 t=14785
chong xin 	重新	c=11 d=0.608298 t=14785
chong xin biao ji 	重新标记	c=1 d=1 t=12778
chong xin bu shu 	重新部署	c=0 d=7.32799e-21 t=14785
chong xin fa bu 	重新发布	c=1 d=0.0143357 t=14785
chong xin jia zai 	重新加载	c=1 d=3.03694e-10 t=14785
chong zai 	虫灾	c=1 d=4.2579e-15 t=14785
chong zai 	重载	c=3 d=2.83358e-10 t=14785
chong zhao 	宠召	c=1 d=1.07379e-14 t=14785
chou 	抽	c=2 d=0.998305 t=14785
chou qian 	筹钱	c=1 d=2.69398e-12 t=14785
chu 	出	c=1 d=0.000428594 t=14785
chu 	除	c=0 d=1.32084e-10 t=14785
chu chai 	出差	c=2 d=2.75182e-16 t=14785
chu chu 	出处	c=1 d=2.73516e-14 t=14785
chu cuo 	出错	c=2 d=1.98511 t=12748
chu fa 	出发	c=1 d=1 t=10584
chu fa 	触发	c=2 d=0.979494 t=12875
chu fa 	除法	c=1 d=6.43358e-18 t=14785
chu fei 	除非	c=3 d=5.35533e-07 t=14785
chu lai 	出来	c=8 d=0.0313046 t=14785
chu lai le 	出来了	c=1 d=8.96749e-13 t=14785
chu le 	除了	c=3 d=0.000262647 t=14785
chu le wo 	除了我	c=1 d=7.75444e-09 t=14785
chu li 	处理	c=13 d=0.188437 t=14785
chu li qi 	处理器	c=1 d=0.00217658 t=14785
chu li zhe ge 	处理这个	c=1 d=1.60577e-13 t=14785
chu mao bing le 	出毛病了	c=1 d=5.03559e-18 t=14785
chu pan 	出盘	c=1 d=0.0095616 t=14785
chu qu 	出去	c=0 d=9.25308e-17 t=14785
chu ru 	出入	c=0 d=0.1 t=11625
chu ru guan li 	出入管理	c=1 d=1 t=11626
chu sheng 	出生	c=1 d=0.0103063 t=14785
chu shi 	初始	c=1 d=1 t=12755
chu shi hua 	初始化	c=13 d=0.647265 t=14785
chu shi hua guo cheng 	初始化过程	c=1 d=1.07972e-20 t=14785
chu xian 	出现	c=10 d=0.782606 t=14785
chu xian de 	出现的	c=1 d=2.60762e-11 t=14785
chu xian le 	出现了	c=1 d=1 t=9918
chu xian le yi ge 	出现了一个	c=1 d=1.43777e-07 t=14785
chu xian liang ge 	出现两个	c=1 d=1 t=10774
chu yu 	处于	c=4 d=0.764574 t=14785
chuan 	传	c=2 d=0.0884781 t=14785
chuan 	穿	c=0 d=2.44226e-06 t=14785
chuan chi 	串池	c=1 d=1 t=12284
chuan de 	穿得	c=1 d=1.53433e-07 t=14785
chuan di 	传递	c=3 d=4.56456e-12 t=14785
chuan gei ni 	传给你	c=0 d=0.1 t=9965
chuan le 	穿了	c=1 d=2.72625e-05 t=14785
chuan pu 	川普	c=2 d=8.84423e-19 t=14785
chuan shu 	传输	c=3 d=1.46402e-06 t=14785
chuan shuo 	传说	c=1 d=1 t=14596
chuan xiao 	传销	c=1 d=3.20756e-06 t=14785
chuan xing 	串行	c=3 d=1.41547 t=12883
chuan xing la ji hui shou qi 	串行垃圾回收器	c=2 d=1.90937 t=12425
chuang dan 	床单	c=1 d=1 t=10607
chuang hu 	窗户	c=2 d=5.62396e-16 t=14785
chuang jian 	创建	c=20 d=0.00591897 t=14785
chuang jian de 	创建的	c=1 d=1 t=10166
chuang jian fang shi 	创建方式	c=1 d=6.68093e-17 t=14785
chuang jian fang shi wei 	创建方式为	c=1 d=6.10401e-17 t=14785
chuang jian gong cheng 	创建工程	c=1 d=1.5865e-18 t=14785
chuang jian le 	创建了	c=1 d=1 t=10106
chuang jian liu cheng 	创建流程	c=1 d=4.61331e-17 t=14785
chuang jian ren 	创建人	c=1 d=1.33411e-09 t=14785
chuang jian shi jian 	创建时间	c=2 d=1.28823e-09 t=14785
chuang jian shi li 	创建实例	c=1 d=5.14887e-15 t=14785
chuang jian xian cheng 	创建线程	c=2 d=0.0443785 t=14785
chuang jian yi ge 	创建一个	c=2 d=1.16203 t=10503
chuang ye 	创业	c=1 d=4.35442e-14 t=14785
chui zi 	锤子	c=1 d=3.60215e-18 t=14785
chun 	纯	c=1 d=0.951229 t=14785
chun cui 	纯粹	c=1 d=2.79526e-05 t=14785
chun shu zi 	纯数字	c=1 d=0.000649051 t=14785
ci 	次	c=2 d=0.10383 t=14785
ci dun 	辞钝	c=0 d=0.1 t=10397
ci hui 	词汇	c=2 d=2.14988e-09 t=14785
ci ku 	词库	c=27 d=8.72833 t=10407
ci ku da quan 	词库大全	c=1 d=1 t=10326
ci ku duo le 	词库多了	c=1 d=1 t=10385
ci ku le 	词库了	c=1 d=1 t=9621
ci ku yue duo 	词库越多	c=1 d=1 t=10380
ci le 	辞了	c=1 d=1 t=11872
ci shi 	此时	c=1 d=1 t=13422
ci shu 	次数	c=1 d=1 t=13855
ci wen jian 	此文件	c=1 d=3.43476e-17 t=14785
ci wen ti 	此问题	c=1 d=1 t=9473
ci yan 	刺眼	c=1 d=5.07307e-17 t=14785
cong 	从	c=13 d=0.0545723 t=14785
cong bu 	从不	c=1 d=0.0051953 t=14785
cong er 	从而	c=1 d=1 t=12888
cong hou 	从后	c=0 d=1.77985e-19 t=14785
cong hou men 	从后门	c=1 d=1.78878e-18 t=14785
cu zai 	粗再	c=1 d=1.47162e-16 t=14785
cui 	催	c=1 d=5.86068e-09 t=14785
cun chu 	存储	c=2 d=1.0005 t=12070
cun de 	存的	c=1 d=1.39168e-06 t=14785
cun huo 	存活	c=2 d=1.91393 t=12364
cun huo lv 	存活率	c=1 d=1 t=12357
cun zai 	存在	c=15 d=0.294721 t=14785
cun zai ma 	存在吗	c=1 d=9.8679e-21 t=14785
cuo de 	错的	c=1 d=1 t=12022
cuo le 	错了	c=1 d=1.06335e-16 t=14785
cuo wu 	错误	c=2 d=0.0471227 t=14785
cuo wu ti shi 	错误提示	c=2 d=0.00220564 t=14785
d 	的	c=4 d=0.891366 t=14785
d zhuai 	的拽	c=1 d=2.64154e-16 t=14785
da 	大	c=6 d=0.00842797 t=14785
da 	打	c=3 d=3.64641e-12 t=14785
da 	搭	c=1 d=1.4059e-08 t=14785
da 	达	c=0 d=0.1 t=12810
da bao 	打包	c=4 d=0.644992 t=14785
da bao bu liao 	打包不了	c=1 d=2.68237e-20 t=14785
da bo 	大伯	c=2 d=1.9802 t=11211
da bu da 	大不大	c=1 d=0.0199887 t=14785
da bu kai 	打不开	c=1 d=1 t=13077
da cheng 	达成	c=1 d=0.0112235 t=14785
da cheng lv 	达成率	c=1 d=0.00390694 t=14785
da chu 	打出	c=1 d=0.116573 t=10308
da dao 	大道	c=1 d=1.26969e-15 t=14785
da dao 	达到	c=3 d=0.00166757 t=14785
da dian 	大店	c=0 d=0.000856561 t=14785
da dian hua 	打电话	c=1 d=5.28621e-09 t=14785
da dian zhang 	大店长	c=1 d=0.00860854 t=14785
da gai 	大概	c=5 d=3.54299e-08 t=14785
da gai yi si 	大概意思	c=1 d=1 t=10279
da ge 	打个	c=1 d=1 t=9458
da gong si 	大公司	c=2 d=1.87372 t=11918
da guo lai 	打过来	c=1 d=1 t=11188
da jia 	大家	c=4 d=0.0660867 t=14785
da jian 	搭建	c=3 d=0.644036 t=14785
da jian bi ji 	搭建笔记	c=1 d=5.63088e-09 t=14785
da jie 	打结	c=1 d=2.14527e-09 t=14785
da kai 	打开	c=10 d=5.83662e-08 t=14785
da lao 	大佬	c=1 d=0.131085 t=14785
da lao lu guo 	大佬路过	c=1 d=4.77927e-21 t=14785
da liang 	大量	c=2 d=6.34667e-05 t=14785
da liang ba zhang 	打两巴掌	c=1 d=1 t=21
da lu 	大陆	c=1 d=1 t=11085
da pei 	搭配	c=1 d=1.0012 t=13572
da pei shi yong 	搭配使用	c=2 d=1.40454 t=11138
da quan 	大全	c=1 d=1 t=9648
da que dian 	大缺点	c=1 d=2.30004e-05 t=14785
da shu ju 	大数据	c=2 d=1.44498e-07 t=14785
da suan 	打算	c=3 d=0.0251579 t=14785
da suan ji dian hui lai a 	打算几点回来啊	c=1 d=1 t=14510
da wen ti 	大问题	c=1 d=1 t=11729
da xiao 	大小	c=4 d=0.000140529 t=14785
da xiao xie 	大小写	c=4 d=5.52266e-10 t=14785
da xie 	大写	c=6 d=4.49094e-10 t=14785
da xing 	大型	c=1 d=1 t=12724
da xue 	大学	c=9 d=0.0369399 t=14785
da yang 	打烊	c=1 d=1.099 t=10240
da yang le 	打烊了	c=1 d=1 t=10239
da yi 	大意	c=1 d=0.163654 t=14785
da yi 	打一	c=0 d=0.102128 t=11842
da yi fen 	打一份	c=1 d=1 t=11843
da yin 	打印	c=0 d=0.1 t=11839
da yin le 	打印了	c=1 d=1 t=11840
da yin xin xi 	打印信息	c=1 d=1 t=12138
da yu 	大于	c=2 d=0.00691767 t=14785
da yu 	大雨	c=1 d=1.64301e-18 t=14785
da yu ling 	大于零	c=1 d=1 t=13480
da yue 	大约	c=3 d=2.61448 t=9692
da zi 	打字	c=8 d=1.51171 t=14703
dai 	代	c=2 d=0.33947 t=12288
dai 	带	c=1 d=6.74024e-07 t=14785
dai 	待	c=3 d=0.0027675 t=14785
dai 	贷	c=0 d=1.94389e-19 t=14785
dai ban 	待办	c=0 d=0.186936 t=13275
dai ban shu 	待办数	c=1 d=1 t=13276
dai ban shu liang 	待办数量	c=4 d=3.07533 t=13359
dai ce shi 	带测试	c=2 d=9.48195e-20 t=14785
dai ce shi 	待测试	c=3 d=0.000736022 t=14785
dai jiao 	带教	c=6 d=0.727762 t=14785
dai jiao lao shi 	带教老师	c=14 d=1.46924 t=14785
dai jiao liu cheng 	带教流程	c=1 d=1.48691e-20 t=14785
dai kuan 	贷款	c=5 d=4.36722e-18 t=14785
dai kuan qian 	贷款前	c=1 d=7.91783e-19 t=14785
dai lao 	代劳	c=1 d=0.000113106 t=14785
dai lao lao shi 	代劳老师	c=1 d=0.00104368 t=14785
dai li 	代理	c=1 d=1.07045 t=11005
dai ma 	代码	c=31 d=1.17436 t=14785
dai ma ceng mian 	代码层面	c=1 d=1 t=10081
dai ma kuai 	代码块	c=14 d=3.07172e-08 t=14785
dai ma shi xian 	代码实现	c=1 d=1.69628e-11 t=14785
dai ma yi chong xin bu shu 	代码已重新部署	c=1 d=7.36473e-20 t=14785
dai qian 	代签	c=1 d=0.0253494 t=14785
dai san 	带伞	c=1 d=0.00904991 t=14785
dai yan zheng 	待验证	c=4 d=5.04348e-07 t=14785
dai you 	带有	c=1 d=2.35418e-14 t=14785
dan 	但	c=14 d=0.0677892 t=14785
dan 	单	c=2 d=9.61116e-05 t=14785
dan an gong si 	但俺公司	c=1 d=3.00826e-16 t=14785
dan bao 	担保	c=1 d=1 t=12877
dan bu 	但不	c=0 d=1.96704e-19 t=14785
dan bu qing chu 	但不清楚	c=1 d=1.9769e-18 t=14785
dan ci 	单词	c=1 d=0.00975476 t=14785
dan du 	单独	c=2 d=3.83457e-17 t=14785
dan ge zi 	单个字	c=1 d=1 t=9898
dan hao 	单号	c=1 d=0.000441984 t=14785
dan ji 	单机	c=0 d=0.1 t=12937
dan ji cheng xu 	单机程序	c=1 d=1 t=12938
dan shen 	单身	c=1 d=9.70776e-05 t=14785
dan shi 	但是	c=4 d=0.000531399 t=14785
dan wei 	单位	c=2 d=0.00571386 t=14785
dan xian cheng 	单线程	c=3 d=1.9711 t=12682
dan xin 	担心	c=1 d=1 t=9718
dan ye shi 	但也是	c=1 d=8.13513e-14 t=14785
dan yuan ge 	单元格	c=1 d=6.13252e-13 t=14785
dan zi 	单子	c=1 d=1 t=9865
dan zi 	单字	c=1 d=1 t=9900
dan zi shu ru 	单字输入	c=1 d=1 t=9855
dang 	当	c=4 d=0.0166616 t=14785
dang chang 	当场	c=1 d=3.46692e-09 t=14785
dang ci 	档次	c=0 d=0.1 t=11875
dang liang ge 	当两个	c=1 d=1 t=10200
dang qian 	当前	c=5 d=0.00105793 t=14785
dang qian zhou qi 	当前周期	c=1 d=5.41562e-21 t=14785
dang ran 	当然	c=1 d=7.74232e-20 t=14785
dang ran xin 	当然信	c=1 d=3.08441e-16 t=14785
dang shi 	当时	c=3 d=0.467746 t=14785
dang shi mang bie de 	当时忙别的	c=1 d=1 t=13355
dang zhu le 	挡住了	c=1 d=1 t=14657
dao 	到	c=33 d=0.420265 t=14785
dao bu liao 	到不了	c=1 d=7.9754e-16 t=14785
dao chu 	导出	c=13 d=0.26982 t=14785
dao da 	到达	c=1 d=1 t=10586
dao di 	到底	c=1 d=7.39912e-16 t=14785
dao gu 	捣鼓	c=1 d=4.87084e-09 t=14785
dao hang 	导航	c=1 d=2.8754e-14 t=14785
dao hang lan 	导航栏	c=1 d=6.38171e-11 t=14785
dao hou 	到后	c=0 d=0.1 t=14437
dao le 	到了	c=3 d=0.00896561 t=14785
dao li 	道理	c=0 d=1.05199e-09 t=14785
dao na er 	到哪儿	c=0 d=0.1 t=12195
dao na er le 	到哪儿了	c=1 d=1 t=12196
dao nei 	岛内	c=6 d=9.26685e-12 t=14785
dao nei fang zi 	岛内房子	c=1 d=2.34204e-12 t=14785
dao ru 	导入	c=24 d=0.308913 t=14785
dao ru dao chu 	导入导出	c=2 d=2.21595e-08 t=14785
dao ru ji ke 	导入即可	c=1 d=1.31832e-16 t=14785
dao ru yi lai 	导入依赖	c=1 d=1.59445e-18 t=14785
dao shi 	到时	c=4 d=5.52217e-07 t=14785
dao shi 	导师	c=5 d=0.00105417 t=14785
dao shou 	到手	c=1 d=6.48257e-19 t=14785
dao wai 	到外	c=2 d=8.45096e-13 t=14785
dao wai 	岛外	c=1 d=1.23494e-12 t=14785
dao xian zai 	到现在	c=2 d=2.44226e-05 t=14785
dao yi ge 	到一个	c=0 d=0.1 t=13971
dao zhi 	导致	c=5 d=0.316826 t=14785
dao zhi de 	导致的	c=1 d=7.58256e-10 t=14785
de 	得	c=9 d=0.290541 t=14785
de 	的	c=710 d=13.1562 t=14785
de che 	的车	c=0 d=9.73951e-15 t=14785
de chu 	得出	c=1 d=0.00960953 t=14785
de dao 	得到	c=7 d=1.00008 t=14065
de fen 	得分	c=5 d=0.0175365 t=14785
de hen 	得很	c=0 d=1.28888e-16 t=14785
de hua 	的话	c=5 d=0.0152222 t=14785
de ma 	的吗	c=1 d=0.00022941 t=14785
de qu bie 	的区别	c=1 d=1 t=12644
de shi hou 	的时候	c=1 d=6.4169e-05 t=14785
de shi jian 	的时间	c=1 d=0.00153381 t=14785
de wen ti 	的问题	c=1 d=1 t=9448
de zhi 	得知	c=3 d=1.00049 t=13696
deng 	等	c=19 d=0.00903991 t=14785
deng dai 	等待	c=4 d=0.111897 t=14785
deng dai chi 	等待池	c=5 d=3.74298 t=14087
deng dai xia zai 	等待下载	c=1 d=1 t=12236
deng dao 	等到	c=2 d=8.69215e-13 t=14785
deng deng 	等等	c=2 d=3.27236e-06 t=14785
deng hao 	等号	c=1 d=1.73054e-11 t=14785
deng jia yu 	等价于	c=1 d=1 t=11026
deng le 	等了	c=1 d=5.59023e-12 t=14785
deng long 	灯笼	c=1 d=1 t=14628
deng lu 	登录	c=8 d=0.0759572 t=14785
deng lu ren 	登录人	c=1 d=5.49746e-21 t=14785
deng ni you 	等你有	c=1 d=2.76218e-12 t=14785
deng wo 	等我	c=1 d=2.82383e-07 t=14785
deng xia 	等下	c=1 d=1.62921e-08 t=14785
deng xia deng xia 	等下等下	c=1 d=1.63738e-07 t=14785
deng yu 	等于	c=1 d=0.970446 t=14785
deng zhan 	灯盏	c=1 d=1 t=14664
di 	低	c=3 d=0.00800739 t=14785
di 	地	c=2 d=0.431767 t=14785
di 	第	c=1 d=0.357007 t=14785
di bu 	底部	c=1 d=6.4137e-11 t=14785
di ceng 	底层	c=3 d=1.00023 t=13742
di ceng shi 	底层是	c=1 d=1 t=10478
di ceng shu zu 	底层数组	c=1 d=1 t=10489
di diao 	低调	c=1 d=0.000135032 t=14785
di ding 	滴定	c=1 d=1.08458e-14 t=14785
di duan 	低端	c=1 d=4.40657e-07 t=14785
di er 	第二	c=1 d=0.00182243 t=14785
di er bu 	第二步	c=2 d=0.295629 t=14785
di er ceng 	第二层	c=2 d=1.23457 t=10932
di er g w xiao shi 	第二个我小时	c=1 d=0.0183156 t=14785
di er ge 	第二个	c=1 d=0.00175097 t=14785
di er ge xiao shi 	第二个小时	c=1 d=0.0175975 t=14785
di er ji 	第二季	c=3 d=2.34743 t=12174
di er nian 	第二年	c=1 d=4.62289e-12 t=14785
di er tian 	第二天	c=1 d=1 t=11870
di fang 	地方	c=9 d=0.394174 t=14785
di gui 	递归	c=1 d=1.75246e-12 t=14785
di jing yuan 	帝景苑	c=1 d=1.42052e-12 t=14785
di li 	地理	c=3 d=2.08187e-09 t=14785
di li wei zhi 	地理位置	c=1 d=1 t=13811
di mian shang 	地面上	c=1 d=8.6995e-09 t=14785
di neng li 	低能力	c=1 d=0.00748391 t=14785
di qiu 	地球	c=5 d=3.58638 t=12171
di qu 	地区	c=1 d=1 t=10334
di san ceng 	第三层	c=1 d=1 t=10662
di san dian 	第三点	c=1 d=1.10307e-07 t=14785
di san ji 	第三季	c=1 d=1 t=12098
di san nian 	第三年	c=1 d=4.66936e-12 t=14785
di si ji 	第四级	c=1 d=0.353455 t=14785
di tie 	地铁	c=5 d=1.08946e-08 t=14785
di tie kou 	地铁口	c=1 d=2.13566e-15 t=14785
di ting dun 	低停顿	c=1 d=1 t=12950
di yi bu 	第一步	c=2 d=1.11765 t=13252
di yi ceng 	第一层	c=4 d=3.21275 t=10743
di yi ci 	第一次	c=1 d=1 t=10506
di yi dian 	第一点	c=1 d=1.15384e-07 t=14785
di yi ge 	第一个	c=2 d=0.0017249 t=14785
di yi ge xiao shi 	第一个小时	c=1 d=0.0173355 t=14785
di yi ji 	第一季	c=3 d=2.34743 t=12173
di yi nian 	第一年	c=2 d=8.46122e-12 t=14785
di yu 	低于	c=2 d=1.00003 t=14585
di yu you shi 	地域优势	c=1 d=1 t=14587
di zhi 	地址	c=28 d=0.00352736 t=14785
di zhi zhi 	地址值	c=1 d=1.57778e-12 t=14785
dian 	店	c=1 d=0.00976221 t=14785
dian 	点	c=7 d=0.0120355 t=14785
dian ban 	点半	c=1 d=3.62649e-09 t=14785
dian bao 	电报	c=1 d=3.03591e-06 t=14785
dian bu 	点不	c=0 d=7.31927e-07 t=14785
dian bu chu lai 	点不出来	c=1 d=7.35596e-06 t=14785
dian can 	点餐	c=1 d=1 t=10215
dian chi 	电池	c=2 d=1.33435e-11 t=14785
dian dan 	点单	c=0 d=4.9495e-22 t=14785
dian dian 	点点	c=1 d=2.37662e-08 t=14785
dian dong 	电动	c=1 d=1.03918e-11 t=14785
dian dong che 	电动车	c=3 d=1.06378e-12 t=14785
dian duo 	点多	c=1 d=8.61587e-13 t=14785
dian gao 	垫高	c=0 d=0.1 t=14738
dian hua 	电话	c=4 d=0.00477195 t=14785
dian ji 	点击	c=7 d=0.020141 t=14785
dian ji xia zai 	点击下载	c=0 d=1.30521e-17 t=14785
dian ji xia zai hou 	点击下载后	c=1 d=1.31175e-16 t=14785
dian ji yun xing 	点击运行	c=1 d=1.35894e-20 t=14785
dian jing li 	店经理	c=1 d=0.00895987 t=14785
dian na ge 	点哪个	c=1 d=1.15106e-08 t=14785
dian nao 	电脑	c=17 d=0.0983743 t=14785
dian nao shang 	电脑上	c=0 d=3.08284e-11 t=14785
dian nao zi dai 	电脑自带	c=1 d=1.33366e-05 t=14785
dian pu 	店铺	c=9 d=0.0260626 t=14785
dian pu lei xing 	店铺类型	c=1 d=1 t=11593
dian shi 	电视	c=1 d=0.909373 t=14785
dian shi tai 	电视台	c=1 d=6.74828e-21 t=14785
dian yi 	点一	c=0 d=1.72696e-17 t=14785
dian yi dian 	点一点	c=2 d=0.0012684 t=14785
dian ying 	电影	c=1 d=6.65875e-08 t=14785
dian ying tian tang 	电影天堂	c=1 d=2.31794e-08 t=14785
dian ying yuan 	电影院	c=1 d=1 t=13767
dian zhang 	店长	c=6 d=0.131676 t=14785
dian zi 	电子	c=1 d=3.63712e-14 t=14785
diao 	掉	c=1 d=0.0180868 t=14785
diao di 	掉地	c=0 d=0.199501 t=14680
diao di shang le 	掉地上了	c=1 d=1 t=14681
diao le 	掉了	c=1 d=4.39669e-10 t=14785
diao shui li le 	掉水里了	c=1 d=1 t=10622
diao yong 	调用	c=11 d=0.628135 t=14785
diao yong le 	调用了	c=2 d=1.90032 t=14018
die 	跌	c=1 d=2.93858e-05 t=14785
die dao 	跌到	c=1 d=3.18332e-05 t=14785
din 	𨈖	c=0 d=1.78264e-08 t=14785
din dui ying 	𨈖对应	c=1 d=1.79158e-07 t=14785
din ying 	𨈖应	c=1 d=1 t=9526
ding 	定	c=0 d=6.64781e-22 t=14785
ding bu 	顶部	c=1 d=1 t=10787
ding ceng 	顶层	c=3 d=1.79458 t=10872
ding ceng zai shang mian 	顶层在上面	c=1 d=1 t=10859
ding de shi jian 	定的时间	c=1 d=6.68113e-21 t=14785
ding ding 	钉钉	c=2 d=2.50137e-09 t=14785
ding shi ren wu 	定时任务	c=3 d=0.852144 t=14785
ding wei 	定位	c=1 d=0.0223708 t=14785
ding yi 	定义	c=9 d=0.00386815 t=14785
dong 	东	c=2 d=9.763e-05 t=14785
dong 	动	c=1 d=8.83588e-14 t=14785
